ZipCode,median_household_income_last_12,Year
95310,38500,2013
95311,36603,2013
95312,74250,2013
95313,34919,2013
95314,,2013
95315,49704,2013
95316,66324,2013
95317,33636,2013
95318,70272,2013
95319,25516,2013
95320,57143,2013
95321,49369,2013
95322,44758,2013
95323,54688,2013
95324,54014,2013
95325,,2013
95326,54938,2013
95327,35995,2013
95328,36779,2013
95329,78333,2013
95330,64758,2013
95333,39531,2013
95334,45307,2013
95335,75907,2013
95336,56835,2013
95337,65427,2013
95338,49899,2013
95340,47554,2013
95341,32690,2013
95345,29583,2013
95346,49333,2013
95348,43821,2013
95350,45036,2013
95351,31913,2013
95354,37659,2013
95355,56262,2013
95356,62657,2013
95357,54982,2013
95358,49345,2013
95360,47478,2013
95361,65248,2013
95363,59616,2013
95364,,2013
95365,35034,2013
95366,75824,2013
95367,59762,2013
95368,72355,2013
95369,54063,2013
95370,47366,2013
95372,57457,2013
95374,50275,2013
95375,22467,2013
95376,62360,2013
95377,100414,2013
95379,43672,2013
95380,39503,2013
95382,63588,2013
95383,50708,2013
95385,36339,2013
95386,53037,2013
95387,44813,2013
95388,34232,2013
95389,62245,2013
95391,96230,2013
95401,55744,2013
95403,57901,2013
95404,66706,2013
95405,68410,2013
95407,56773,2013
95409,66041,2013
95410,14799,2013
95412,52500,2013
95415,40931,2013
95417,17083,2013
95420,78750,2013
95421,58250,2013
95422,28908,2013
95423,41738,2013
95425,57407,2013
95426,71176,2013
95427,16938,2013
95428,27010,2013
95429,68250,2013
95430,,2013
95431,,2013
95432,34612,2013
95435,,2013
95436,50355,2013
95437,40830,2013
95439,42596,2013
95441,60375,2013
95442,80308,2013
95443,32887,2013
95444,71596,2013
95445,50020,2013
95446,43049,2013
95448,69855,2013
95449,39720,2013
95450,51875,2013
95451,47027,2013
95452,63199,2013
95453,42191,2013
95454,35375,2013
95456,51771,2013
95457,47989,2013
95458,26710,2013
95459,35625,2013
95460,65208,2013
95461,54777,2013
95462,36094,2013
95463,,2013
95464,32674,2013
95465,73295,2013
95466,57857,2013
95467,59081,2013
95468,43889,2013
95469,62917,2013
95470,58600,2013
95471,40435,2013
95472,74576,2013
95476,58212,2013
95482,47274,2013
95485,35393,2013
95486,27344,2013
95488,24032,2013
95490,43485,2013
95492,77745,2013
95493,78906,2013
